"filename", "language", "JSON", "Markdown", "Python", "XML", "Properties", "Java", "Vue", "HTML", "JavaScript", "Excel", "JSON with Comments", "Batch", "comment", "blank", "total"
"e:\code\Shanruan_app\shanruan\.idea\compiler.xml", "XML", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"e:\code\Shanruan_app\shanruan\.idea\encodings.xml", "XML", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"e:\code\Shanruan_app\shanruan\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"e:\code\Shanruan_app\shanruan\.idea\jarRepositories.xml", "XML", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__ch_qos_logback_logback_classic_1_2_3.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__ch_qos_logback_logback_core_1_2_3.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__com_fasterxml_jackson_core_jackson_annotations_2_11_3.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__com_fasterxml_jackson_core_jackson_core_2_11_3.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__com_fasterxml_jackson_core_jackson_databind_2_11_3.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__com_fasterxml_jackson_datatype_jackson_datatype_jdk8_2_11_3.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__com_fasterxml_jackson_datatype_jackson_datatype_jsr310_2_11_3.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__com_fasterxml_jackson_module_jackson_module_parameter_names_2_11_3.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__com_google_code_gson_gson_2_6_2.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__com_jayway_jsonpath_json_path_2_4_0.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__com_qiniu_happy_dns_java_0_1_4.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__com_qiniu_qiniu_java_sdk_7_2_29.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__com_squareup_okhttp3_okhttp_3_3_1.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__com_squareup_okio_okio_1_8_0.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__com_vaadin_external_google_android_json_0_0_20131108_vaadin1.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__jakarta_activation_jakarta_activation_api_1_2_2.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__jakarta_annotation_jakarta_annotation_api_1_3_5.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__jakarta_xml_bind_jakarta_xml_bind_api_2_3_3.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__net_bytebuddy_byte_buddy_1_10_18.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__net_bytebuddy_byte_buddy_agent_1_10_18.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__net_minidev_accessors_smart_1_2.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__net_minidev_json_smart_2_3.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__org_apache_logging_log4j_log4j_api_2_13_3.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__org_apache_logging_log4j_log4j_to_slf4j_2_13_3.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__org_apache_tomcat_embed_tomcat_embed_core_9_0_41.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__org_apache_tomcat_embed_tomcat_embed_websocket_9_0_41.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__org_apiguardian_apiguardian_api_1_1_0.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__org_assertj_assertj_core_3_16_1.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__org_glassfish_jakarta_el_3_0_3.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__org_hamcrest_hamcrest_2_2.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
